26-01-16 10:13:13 [main] INFO  44ogger -HHH000412: Hibernate ORM core version 5.4.33
26-01-16 11:57:43 [main] WARN  155ogger -HHH90001006: Missing cache[hibernate.cache.com.entity.Districts] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.cache.ehcache.missing_cache_strategy' to 'create'.
26-01-16 11:57:43 [main] WARN  155ogger -HHH90001006: Missing cache[hibernate.cache.com.entity.Provinces] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.cache.ehcache.missing_cache_strategy' to 'create'.
26-01-16 11:57:45 [main] INFO  47ogger -HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@216906a0] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
26-01-16 11:57:45 [main] INFO  52ogger -HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
26-01-16 11:57:54 [http-nio-8080-exec-3] INFO  381ogger -User Login SuccessFully Ali IP Address Is :0:0:0:0:0:0:0:1
26-01-16 11:58:30 [main] INFO  44ogger -HHH000412: Hibernate ORM core version 5.4.33
26-01-16 11:58:31 [main] WARN  60ogger -HHH020100: The Ehcache second-level cache provider for Hibernate is deprecated.  See https://hibernate.atlassian.net/browse/HHH-12441 for details.
26-01-16 11:58:31 [main] INFO  56ogger -HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
26-01-16 11:58:32 [main] WARN  72ogger -HHH10001002: Using Hibernate built-in connection pool (not for production use!)
26-01-16 11:58:32 [main] INFO  115ogger -HHH10001005: using driver [com.mysql.cj.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/nadra_system]
26-01-16 11:58:32 [main] INFO  124ogger -HHH10001001: Connection properties: {password=****, user=root}
26-01-16 11:58:32 [main] INFO  129ogger -HHH10001003: Autocommit mode: false
26-01-16 11:58:32 [main] INFO  259ogger -HHH000115: Hibernate connection pool size: 20 (min=1)
26-01-16 11:58:32 [main] INFO  175ogger -HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
26-01-16 11:58:32 [main] INFO  97ogger -Envers integration enabled? : true
26-01-16 11:58:33 [main] WARN  155ogger -HHH90001006: Missing cache[hibernate.cache.default-update-timestamps-region] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.cache.ehcache.missing_cache_strategy' to 'create'.
26-01-16 11:58:33 [main] WARN  155ogger -HHH90001006: Missing cache[hibernate.cache.default-query-results-region] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.cache.ehcache.missing_cache_strategy' to 'create'.
26-01-16 11:58:34 [main] WARN  155ogger -HHH90001006: Missing cache[hibernate.cache.com.entity.LoggedIn] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.cache.ehcache.missing_cache_strategy' to 'create'.
26-01-16 11:58:34 [main] WARN  155ogger -HHH90001006: Missing cache[hibernate.cache.com.entity.Countries] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.cache.ehcache.missing_cache_strategy' to 'create'.
26-01-16 11:58:34 [main] WARN  155ogger -HHH90001006: Missing cache[hibernate.cache.com.entity.Users] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.cache.ehcache.missing_cache_strategy' to 'create'.
26-01-16 11:58:34 [main] WARN  155ogger -HHH90001006: Missing cache[hibernate.cache.com.entity.Districts] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.cache.ehcache.missing_cache_strategy' to 'create'.
26-01-16 11:58:34 [main] WARN  155ogger -HHH90001006: Missing cache[hibernate.cache.com.entity.Provinces] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.cache.ehcache.missing_cache_strategy' to 'create'.
26-01-16 11:58:34 [main] INFO  47ogger -HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@216906a0] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
26-01-16 11:58:35 [main] INFO  52ogger -HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
26-01-16 11:59:02 [http-nio-8080-exec-1] INFO  382ogger -User Login SuccessFully Ali IP Address Is :0:0:0:0:0:0:0:1
26-01-16 11:59:10 [http-nio-8080-exec-3] INFO  458ogger -Logout SuccessFullAli
26-01-16 11:59:15 [http-nio-8080-exec-5] INFO  382ogger -User Login SuccessFully Ali IP Address Is :0:0:0:0:0:0:0:1
26-01-16 11:59:34 [http-nio-8080-exec-6] INFO  382ogger -User Login SuccessFully Ali IP Address Is :0:0:0:0:0:0:0:1
26-01-16 12:00:02 [http-nio-8080-exec-3] INFO  382ogger -User Login SuccessFully Muhammad Rafay IP Address Is :0:0:0:0:0:0:0:1
26-01-16 12:00:07 [Catalina-utility-1] INFO  44ogger -HHH000412: Hibernate ORM core version 5.4.33
26-01-16 12:00:09 [Catalina-utility-1] WARN  60ogger -HHH020100: The Ehcache second-level cache provider for Hibernate is deprecated.  See https://hibernate.atlassian.net/browse/HHH-12441 for details.
26-01-16 12:00:09 [Catalina-utility-1] INFO  56ogger -HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
26-01-16 12:00:09 [Catalina-utility-1] WARN  72ogger -HHH10001002: Using Hibernate built-in connection pool (not for production use!)
26-01-16 12:00:09 [Catalina-utility-1] INFO  115ogger -HHH10001005: using driver [com.mysql.cj.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/nadra_system]
26-01-16 12:00:09 [Catalina-utility-1] INFO  124ogger -HHH10001001: Connection properties: {password=****, user=root}
26-01-16 12:00:09 [Catalina-utility-1] INFO  129ogger -HHH10001003: Autocommit mode: false
26-01-16 12:00:09 [Catalina-utility-1] INFO  259ogger -HHH000115: Hibernate connection pool size: 20 (min=1)
26-01-16 12:00:10 [Catalina-utility-1] INFO  175ogger -HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
26-01-16 12:00:10 [Catalina-utility-1] INFO  97ogger -Envers integration enabled? : true
26-01-16 12:00:13 [Catalina-utility-1] WARN  155ogger -HHH90001006: Missing cache[hibernate.cache.default-update-timestamps-region] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.cache.ehcache.missing_cache_strategy' to 'create'.
26-01-16 12:00:13 [Catalina-utility-1] WARN  155ogger -HHH90001006: Missing cache[hibernate.cache.default-query-results-region] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.cache.ehcache.missing_cache_strategy' to 'create'.
26-01-16 12:00:13 [Catalina-utility-1] WARN  155ogger -HHH90001006: Missing cache[hibernate.cache.com.entity.Users] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.cache.ehcache.missing_cache_strategy' to 'create'.
26-01-16 12:00:13 [Catalina-utility-1] WARN  155ogger -HHH90001006: Missing cache[hibernate.cache.com.entity.Districts] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.cache.ehcache.missing_cache_strategy' to 'create'.
26-01-16 12:00:13 [Catalina-utility-1] WARN  155ogger -HHH90001006: Missing cache[hibernate.cache.com.entity.LoggedIn] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.cache.ehcache.missing_cache_strategy' to 'create'.
26-01-16 12:00:13 [Catalina-utility-1] WARN  155ogger -HHH90001006: Missing cache[hibernate.cache.com.entity.Countries] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.cache.ehcache.missing_cache_strategy' to 'create'.
26-01-16 12:00:13 [Catalina-utility-1] WARN  155ogger -HHH90001006: Missing cache[hibernate.cache.com.entity.Provinces] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.cache.ehcache.missing_cache_strategy' to 'create'.
26-01-16 12:00:14 [Catalina-utility-1] INFO  47ogger -HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@3213abc4] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
26-01-16 12:00:15 [Catalina-utility-1] INFO  52ogger -HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
26-01-16 12:00:21 [http-nio-8080-exec-6] INFO  382ogger -User Login SuccessFully Muhammad Rafay IP Address Is :0:0:0:0:0:0:0:1
26-01-16 12:00:30 [http-nio-8080-exec-9] WARN  331ogger -Invalid CrendentialsnullPasswordnull
26-01-16 12:00:56 [http-nio-8080-exec-3] INFO  428ogger -Login From Another BrowserMuhammad Rafay
26-01-16 12:08:02 [http-nio-8080-exec-11] INFO  382ogger -User Login SuccessFully Ali IP Address Is :0:0:0:0:0:0:0:1
26-01-16 12:08:09 [http-nio-8080-exec-16] INFO  428ogger -Login From Another BrowserAli
